n1,n2,n1_nt,n2_nt
720575940616702465,720575940633062335,glut,ach
720575940610584184,720575940616841361,gaba,ach
720575940627218882,720575940627263375,gaba,ach
720575940630085583,720575940639278781,ach,gaba
720575940622527100,720575940625513859,gaba,ach
720575940619694027,720575940624111408,gaba,ach
720575940603895584,720575940605521330,gaba,gaba
720575940619456728,720575940637623780,ach,ser
720575940625189100,720575940639608947,glut,glut
720575940621216171,720575940625585852,gaba,glut
720575940607685571,720575940629174889,ach,gaba
720575940621766938,720575940634260636,ach,ach
720575940619704478,720575940624372553,gaba,gaba
720575940604914353,720575940617181185,ach,gaba
720575940622667703,720575940626275632,ach,gaba
720575940616564534,720575940641169371,glut,gaba
720575940604165856,720575940630434924,ach,glut
720575940614556712,720575940622587784,gaba,ach
720575940620968942,720575940625706800,gaba,ach
720575940619501179,720575940643841844,gaba,ach
720575940628058896,720575940660217473,ach,ser
720575940630769145,720575940644582964,gaba,gaba
720575940618770311,720575940622159240,ach,glut
720575940629174889,720575940631997215,gaba,ach
720575940611327129,720575940637098352,ach,gaba
720575940627636679,720575940639880501,ach,gaba
720575940619747633,720575940625071339,ach,gaba
720575940616390261,720575940621397503,gaba,ach
720575940627034792,720575940627420488,ach,da
720575940625923971,720575940637339625,gaba,ach
720575940615549250,720575940618250821,ach,ach
720575940627312104,720575940629755723,glut,gaba
720575940618177977,720575940645782068,gaba,ach
720575940620544773,720575940640625280,ach,ach
720575940626104613,720575940627850343,ach,ach
720575940635211768,720575940637341668,gaba,ach
720575940623670212,720575940627731845,ach,gaba
720575940605496166,720575940607673865,glut,ach
720575940615970783,720575940633591397,gaba,ach
720575940632938466,720575940637623780,ach,da
720575940622551334,720575940624184764,ach,gaba
720575940611585689,720575940617764582,gaba,gaba
720575940617448331,720575940633291545,ser,glut
720575940618045986,720575940630022395,gaba,gaba
720575940632410828,720575940632940717,ach,glut
720575940619549867,720575940633660314,gaba,ach
720575940626664956,720575940644632087,ach,gaba
720575940603197408,720575940619718209,glut,glut
720575940626961241,720575940632134227,gaba,gaba
720575940629174889,720575940647973497,gaba,ach
720575940610325038,720575940616595869,ach,gaba
720575940616413469,720575940629976888,glut,ach
720575940627875144,720575940629414955,ach,gaba
720575940619093524,720575940630407388,ach,ser
720575940623066392,720575940638177769,glut,glut
720575940615415106,720575940630506240,gaba,gaba
720575940609140949,720575940626345520,ach,glut
720575940619121344,720575940621042270,glut,ach
720575940632617299,720575940640754304,glut,ach
720575940614243368,720575940617891997,gaba,ach
720575940612674257,720575940617265269,ach,gaba
720575940615973186,720575940636923822,glut,ach
720575940606158257,720575940631777583,ach,gaba
720575940629443626,720575940634251872,ach,gaba
720575940636940870,720575940643020836,gaba,gaba
720575940611586533,720575940634666009,glut,glut
720575940616633925,720575940620866036,ach,gaba
720575940613605698,720575940633909600,glut,ach
720575940612058861,720575940616564534,gaba,glut
720575940612740325,720575940629476683,ach,ach
720575940606576049,720575940625672487,gaba,gaba
720575940621675174,720575940631844939,gaba,ach
720575940628286888,720575940628969831,ach,glut
720575940637202318,720575940649410681,gaba,ach
720575940618153153,720575940638494416,ach,ach
720575940623219453,720575940628200551,ach,glut
720575940630318956,720575940635686239,ach,gaba
720575940615911261,720575940628953083,glut,glut
720575940608566979,720575940616015956,glut,glut
720575940615970783,720575940621132108,gaba,ach
720575940625000200,720575940636384869,gaba,ach
720575940626156837,720575940639646773,ach,glut
720575940622726292,720575940624983054,ach,ach
720575940605971121,720575940621675174,ach,gaba
720575940620881134,720575940653139190,ach,glut
720575940613359839,720575940629143255,gaba,ach
720575940621025377,720575940622828253,glut,ach
720575940614897058,720575940625000200,gaba,gaba
720575940631946827,720575940641272309,glut,ach
720575940615981173,720575940619312749,gaba,ach
720575940620122465,720575940636885993,glut,ach
720575940623862015,720575940635540671,ach,gaba
720575940606591836,720575940625218685,gaba,gaba
720575940614241430,720575940648089476,ach,gaba
720575940617211724,720575940637204837,ach,gaba
720575940615970783,720575940631681095,gaba,ach
720575940620101870,720575940638795635,ach,gaba
720575940619895125,720575940620565313,ach,gaba
720575940616636116,720575940632042148,ach,gaba
720575940631406411,720575940632587932,gaba,ach
720575940609282825,720575940625754643,gaba,ach
720575940610985434,720575940630349015,ach,gaba
720575940625044784,720575940628016387,ach,glut
720575940624953276,720575940646916148,ach,ach
720575940619902343,720575940629174889,ach,gaba
720575940608241365,720575940641606541,ach,da
720575940618106525,720575940621339375,ach,gaba
720575940619859547,720575940620664496,ach,gaba
720575940615970783,720575940624003581,gaba,ach
720575940617619614,720575940624971353,gaba,ach
720575940625436903,720575940650033654,gaba,ach
720575940626387262,720575940632315532,gaba,ach
720575940620392374,720575940620904869,ach,gaba
720575940608293129,720575940628573519,ach,glut
720575940606159537,720575940614116575,ach,glut
720575940613207471,720575940637678426,ach,ach
720575940616021209,720575940632518713,ach,gaba
720575940638707940,720575940643812296,ach,ach
720575940628716560,720575940641439477,gaba,ach
720575940628349456,720575940638681203,gaba,ach
720575940623042124,720575940639795133,glut,gaba
720575940621378031,720575940628391848,ach,gaba
720575940615408351,720575940633227724,glut,glut
720575940624435128,720575940625673486,ser,ach
720575940623146957,720575940632698797,ser,ach
720575940618993989,720575940622005068,gaba,ach
720575940612930611,720575940614508603,glut,gaba
720575940608544011,720575940629174889,ach,gaba
720575940621883888,720575940627138562,ach,gaba
720575940630485548,720575940637238373,gaba,ach
720575940614602415,720575940631670290,glut,glut
720575940617340646,720575940638128474,ach,gaba
720575940614169086,720575940615970783,ach,gaba
720575940614572463,720575940626162890,glut,ach
720575940616957301,720575940633436499,glut,gaba
720575940613203119,720575940635249332,ach,gaba
720575940627617551,720575940655324577,gaba,ach
720575940614556712,720575940621285104,gaba,ach
720575940609299467,720575940617148509,gaba,ach
720575940627996170,720575940634126176,gaba,ach
720575940620960347,720575940624863896,ser,gaba
720575940630407388,720575940636878254,gaba,ach
720575940605895968,720575940618984773,ach,gaba
720575940622353279,720575940625492355,glut,ach
720575940625086451,720575940628936198,ach,gaba
