neuron_id,in_degree,out_degree,total_degree,classifications
720575940615970783,3640,3640,7280,rich_club|intrinsic_balanced
720575940621675174,3449,3449,6898,rich_club|intrinsic_balanced
720575940621280688,2722,2722,5444,rich_club|intrinsic_balanced
720575940629174889,2719,2719,5438,rich_club|intrinsic_balanced
720575940628684843,974,974,1948,rich_club|intrinsic_balanced
720575940639313990,677,677,1354,rich_club|intrinsic_balanced
720575940614556712,596,596,1192,rich_club|intrinsic_balanced
720575940613200025,574,574,1148,rich_club|intrinsic_balanced
720575940628391848,532,532,1064,rich_club|intrinsic_balanced
720575940614607825,531,531,1062,rich_club|intrinsic_balanced
720575940631122937,517,517,1034,rich_club|intrinsic_balanced
720575940620904869,477,477,954,rich_club|intrinsic_balanced
720575940614457086,466,466,932,rich_club|intrinsic_balanced
720575940625000200,442,442,884,rich_club|intrinsic_balanced
720575940634274017,433,433,866,rich_club|intrinsic_balanced
720575940646126190,410,410,820,rich_club|intrinsic_balanced
720575940609282825,399,399,798,rich_club|intrinsic_balanced
720575940627138562,388,388,776,rich_club|intrinsic_balanced
720575940617265269,374,374,748,rich_club|intrinsic_balanced
720575940625102224,354,354,708,rich_club|intrinsic_balanced
