NT Pair,Type,N Pairs,N Neurons,N Edges,Density,Transitivity,N Components,Giant Component %,Mean Degree,Max Degree
GABA-GABA,Same,10214,6832,20428,0.0004377172944528611,0.3962489482398285,1378,44.71604215456674,5.980093676814988,142
SER-SER,Same,913,348,1826,0.015121401835105502,0.29883409425348073,45,46.264367816091955,10.494252873563218,72
DA-DA,Same,603,419,1206,0.006885841203138025,0.14851800701157974,51,42.720763723150355,5.756563245823389,80
ACH-ACH,Same,18754,17578,37508,0.00012139748638328853,0.06223607117506226,3715,33.87757424052793,4.267607236318125,742
GLUT-GLUT,Same,5144,5178,10288,0.0003837874283205726,0.060955641559988095,948,26.979528775589028,3.973735032831209,248
OCT-OCT,Same,7,14,14,0.07692307692307693,0.0,7,14.285714285714285,2.0,2
DA-SER,Cross,379,250,758,0.012176706827309237,0.1208865010073875,48,20.8,6.064,38
ACH-SER,Cross,3474,1216,6948,0.004702729044834308,0.0677312221141266,191,49.75328947368421,11.427631578947368,172
GLUT-SER,Cross,504,541,1008,0.003450400492914356,0.06307490144546649,144,12.384473197781885,3.7264325323475047,64
GABA-SER,Cross,861,640,1722,0.004210680751173709,0.060890688259109316,112,43.90625,5.38125,110
DA-GLUT,Cross,691,696,1382,0.002857024725047548,0.024527934592174422,121,23.850574712643677,3.971264367816092,42
ACH-DA,Cross,3212,2352,6424,0.0011617577698880487,0.0216009225856053,220,36.01190476190476,5.462585034013605,336
DA-GABA,Cross,768,865,1536,0.0020552344251766217,0.005258964143426295,158,14.450867052023122,3.5514450867052023,130
GABA-GLUT,Cross,10459,10912,20918,0.00017569170018902607,0.002818992108183929,2229,50.77895894428153,3.8339442815249267,182
ACH-GLUT,Cross,32815,28463,65630,8.101329888787268e-05,0.0019775841638918854,2984,58.75346941643538,4.611601025893265,366
ACH-GABA,Cross,90968,52995,181936,6.478240163641223e-05,0.0005375292100965318,1448,91.31616190206623,6.86615718464006,6496
ACH-OCT,Cross,501,605,1002,0.002742050243555361,0.0,155,22.644628099173552,3.312396694214876,94
GABA-OCT,Cross,370,410,740,0.004412904764744469,0.0,91,30.73170731707317,3.6097560975609757,60
DA-OCT,Cross,9,14,18,0.09890109890109891,0.0,5,35.714285714285715,2.5714285714285716,6
GLUT-OCT,Cross,141,197,282,0.007303428985807521,0.0,61,9.137055837563452,2.8629441624365484,20
OCT-SER,Cross,12,22,24,0.051948051948051945,0.0,10,13.636363636363635,2.1818181818181817,4
